,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1887,MgAlBO4,MgAlBO4_Va_O2,6.1708,-3.1794655105952385,2.1534267881880895,2.973982215156041,1.3206251641102609,2,143,-2.1905056483979153,10.553247448186655
1888,MgAlBO4,MgAlBO4_Va_O3,6.1708,-3.1794655105952385,2.1190235037455056,2.974761815078296,1.2199110024160815,2,167,-2.1905056483979153,11.630746453685758
1889,MgGeO3,MgGeO3_Va_O1,2.3566000000000003,-2.560048076,2.4014902769604944,3.5800246206459025,-0.3149575537298601,2,47,-1.502819088333178,9.113368540540733
1890,MgGeO3,MgGeO3_Va_O2,2.3566000000000003,-2.560048076,2.319051462619258,2.264710052985627,1.5853398657210789,2,63,-1.502819088333178,7.043483676796338
1891,MgGeO3,MgGeO3_Va_O3,2.3566000000000003,-2.560048076,2.0764563078768257,2.732291460717855,1.198511289584356,2,79,-1.502819088333178,8.503843979526707
1892,MgO,MgO_Va_O1,4.6587,-3.0533666124999996,1.31,1.800415362880493,3.647223827401248,2,63,-3.116950431898758,10.345144576146483
1893,MgSn(BO3)2,MgSn(BO3)2_Va_O1,3.8378,-2.715067036333334,2.371666666666667,2.891234791700079,0.6185397519057558,2,269,-1.538575818365933,8.116717412419618
1894,Na2BeB2O5,Na2BeB2O5_Va_O2,4.9742999999999995,-2.7277114356436787,1.6104044454637272,2.3773495766865684,3.0918998044000534,2,383,-2.158566424325179,10.014281350767188
1895,Na2BeB2O5,Na2BeB2O5_Va_O3,4.9742999999999995,-2.7277114356436787,2.026290733812957,3.633782413541698,0.8902195219527447,2,431,-2.158566424325179,12.064328761627902
1899,Na2GeO3,Na2GeO3_Va_O1,2.9417999999999997,-2.139358738850575,1.840543768294723,2.927860965346632,1.425249588069955,2,63,-1.502819088333178,9.45259282912234
1900,Na2MgGeO4,Na2MgGeO4_Va_O1,3.2445999999999997,-2.382190906012931,1.533354860746701,1.5603384917226282,2.9691309480253305,2,179,-1.502819088333178,7.502824551472914
1901,Na2MgGeO4,Na2MgGeO4_Va_O2,3.2445999999999997,-2.382190906012931,1.4920368630224898,1.611244233884411,3.3406640584141396,2,215,-1.502819088333178,7.7932326073790215
1902,Na2MgGeO4,Na2MgGeO4_Va_O3,3.2445999999999997,-2.382190906012931,1.5318908343383142,1.5386317011223445,2.8540160492173112,2,251,-1.502819088333178,7.5143537896676325
1903,Na2MgGeO4,Na2MgGeO4_Va_O4,3.2445999999999997,-2.382190906012931,1.4981705929595217,1.5944566503797444,3.2039740292326324,2,287,-1.502819088333178,7.749177127098218
1904,Na2MgSiO4,Na2MgSiO4_Va_O1,3.8845,-2.807341548512931,1.5434786900483108,1.9345832075887304,3.796400979236109,2,179,-2.158566424325179,8.179500298710876
1905,Na2MgSiO4,Na2MgSiO4_Va_O2,3.8845,-2.807341548512931,1.509652048946425,1.9706985650732225,4.020785051892004,2,215,-2.158566424325179,8.457004455542853
1906,Na2MgSiO4,Na2MgSiO4_Va_O3,3.8845,-2.807341548512931,1.5349604349221158,1.924140824990511,3.622407778496024,2,287,-2.158566424325179,8.308779777308736
1907,Na2MgSiO4,Na2MgSiO4_Va_O4,3.8845,-2.807341548512931,1.5091475872257534,1.9904116681323507,4.21672837394792,2,269,-2.158566424325179,8.514435167038766
1908,Na2PbO3,Na2PbO3_Va_O1,1.3852000000000002,-1.685241230933908,1.5578671564280668,1.287216116113615,1.0298509218087002,2,63,-0.2712847561180753,7.575380495647752
1909,Na2PbO3,Na2PbO3_Va_O2,1.3852000000000002,-1.685241230933908,1.5448264821383595,1.3244149362231266,1.2517428384537448,2,79,-0.2712847561180753,7.496805673756786
1910,Na2PbO3,Na2PbO3_Va_O3,1.3852000000000002,-1.685241230933908,1.5622508021994184,1.3005316308390644,1.0067768566956246,2,95,-0.2712847561180753,7.57189467155823
1911,Na2Sb4O7,Na2Sb4O7_Va_O1,2.9387999999999996,-1.8557798171618032,2.051127537584742,2.788231272117096,-0.6552669249690801,2,299,-1.2369755737418262,8.77882854366828
1912,Na2Sb4O7,Na2Sb4O7_Va_O2,2.9387999999999996,-1.8557798171618032,2.392913981072047,2.92493481971893,-1.2411295924441146,2,251,-1.2369755737418262,9.187538631947055
1913,Na2Sb4O7,Na2Sb4O7_Va_O4,2.9387999999999996,-1.8557798171618032,1.9446082369744648,2.7746603316008605,-0.0017076161924296,2,311,-1.2369755737418262,8.732260380880026
1914,Na2SiO3,Na2SiO3_Va_O2,3.9955000000000007,-2.6992391030172413,1.388390723489074,1.792391604112825,3.409463202830233,2,95,-2.158566424325179,8.0387571144289
1915,Na3AsO4,Na3AsO4_Va_O1,3.3761,-2.0528031474568964,1.5169268366869164,1.8565538228334355,3.3446400404950327,2,111,-0.6589084382122885,5.960277523159008
1916,Na3AsO4,Na3AsO4_Va_O2,3.3761,-2.0528031474568964,1.5367031765163404,1.7974362153886294,2.676930673719837,2,103,-0.6589084382122885,6.022710029857299
1917,Na3BO3,Na3BO3_Va_O1,3.1534999999999997,-2.267062791974549,1.2791005784099043,2.5156331496583024,3.2528970144916207,2,323,-2.158566424325179,8.629222280936476
